epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1694,0.79681,2.24566,1.22573,0.43371,0.27947,0.31833,0.15742,1.67769,2.52163,2.11843,0.000330729,0.000330729,0.000330729
2,20.8554,0.70075,1.34199,1.15307,0.43501,0.25898,0.18526,0.09312,2.29554,3.12202,2.8269,0.000657488,0.000657488,0.000657488
3,29.2109,0.66828,1.18124,1.12174,0.40678,0.17712,0.12909,0.05534,2.25084,3.26758,2.75687,0.000977647,0.000977647,0.000977647
4,37.3818,0.65874,1.04485,1.10723,0.38895,0.21642,0.20662,0.09569,2.17061,2.62149,2.50027,0.0009703,0.0009703,0.0009703
5,45.4073,0.62294,0.90507,1.08954,0.38942,0.3106,0.24773,0.13917,1.90027,2.70052,2.1883,0.0009604,0.0009604,0.0009604
6,53.3542,0.59285,0.82927,1.06945,0.50971,0.41198,0.41475,0.22471,1.79674,2.27767,2.0985,0.0009505,0.0009505,0.0009505
7,61.2418,0.57898,0.7661,1.06576,0.52269,0.54442,0.53409,0.343,1.59305,1.71965,1.91861,0.0009406,0.0009406,0.0009406
8,69.1204,0.57191,0.74161,1.05286,0.46303,0.50477,0.44829,0.25929,1.7255,1.91154,2.07811,0.0009307,0.0009307,0.0009307
9,77.1581,0.55833,0.68585,1.04484,0.39618,0.33598,0.31159,0.17249,1.8955,2.382,2.29169,0.0009208,0.0009208,0.0009208
10,85.2764,0.54701,0.67323,1.04122,0.51214,0.44592,0.47425,0.28779,1.58523,1.81883,1.88565,0.0009109,0.0009109,0.0009109
11,93.6907,0.54356,0.65236,1.03942,0.41704,0.30353,0.31537,0.1771,1.86163,2.78899,2.20871,0.000901,0.000901,0.000901
12,101.824,0.51234,0.62278,1.03051,0.48631,0.37016,0.37823,0.21819,1.73199,2.53451,2.10153,0.0008911,0.0008911,0.0008911
13,109.759,0.52705,0.61199,1.02908,0.53864,0.40728,0.43287,0.24455,1.76635,2.04399,2.06544,0.0008812,0.0008812,0.0008812
14,117.792,0.50684,0.577,1.02646,0.45665,0.44527,0.41928,0.23819,1.8847,2.25489,2.35102,0.0008713,0.0008713,0.0008713
15,125.62,0.50988,0.5665,1.0221,0.51551,0.39469,0.38734,0.2214,2.08902,2.75986,2.45918,0.0008614,0.0008614,0.0008614
16,133.688,0.51225,0.54994,1.01441,0.60693,0.51459,0.54849,0.33784,1.56133,1.80264,1.88942,0.0008515,0.0008515,0.0008515
17,141.626,0.49504,0.52708,1.01165,0.49486,0.33001,0.37811,0.2139,1.85467,2.5707,2.17704,0.0008416,0.0008416,0.0008416
18,149.512,0.47625,0.51509,1.00354,0.52484,0.47329,0.48773,0.29451,1.59391,2.00659,1.90404,0.0008317,0.0008317,0.0008317
19,157.426,0.47314,0.5102,0.99895,0.52275,0.49157,0.47664,0.28867,1.66132,1.98808,1.95273,0.0008218,0.0008218,0.0008218
20,165.363,0.47458,0.49909,0.99707,0.5422,0.39236,0.42462,0.24798,1.83791,2.46983,2.30203,0.0008119,0.0008119,0.0008119
21,173.272,0.4595,0.50597,0.99065,0.53457,0.4645,0.51787,0.33957,1.54499,2.13564,1.84617,0.000802,0.000802,0.000802
22,181.188,0.45604,0.50308,0.99433,0.55071,0.48302,0.50536,0.30167,1.64805,1.95495,1.96013,0.0007921,0.0007921,0.0007921
23,189.262,0.46005,0.48023,0.98444,0.61298,0.38141,0.46389,0.30252,1.53296,2.37947,1.8537,0.0007822,0.0007822,0.0007822
24,197.198,0.44861,0.4564,0.98963,0.53063,0.50844,0.51115,0.30913,1.70797,2.00465,2.08933,0.0007723,0.0007723,0.0007723
